namalatih,panjanglatih,lebarlatih,namauji,panjanguji,lebaruji
1,7.5,4.5,1,6.9,3.3
1,7.7,4.3,1,5.3,3.2
1,8.3,4.3,1,5.6,3.2
2,23.5,9.6,2,25.8,10.6
2,23.6,9,2,23,10.1
2,21,8.5,2,22.9,9.3
3,7.9,3.4,2,17.6,7.5
3,6.5,3.5,3,5.9,3.1
3,5,3.4,3,6.1,3.2
3,5.4,3.1,3,6.6,3.2
4,13.8,4.57,4,10.9,3
4,16.8,4.8,4,8,2.3
4,16.8,4.7,4,9.8,3
5,16.2,7.5,5,18,7.8
5,15.2,8.3,5,16.7,6.2
5,17.5,8.4,5,15.7,6.2
6,25,1,6,25,0.9
6,25,0.8,6,24,0.5
6,24.9,0.8,6,25.7,1
7,8.1,2.1,6,25.4,0.8
7,8.5,2,7,7.9,2
7,8.7,3,7,8,2.3
7,8,2,7,6,2.2
8,9.2,4.8,8,10,5
8,10,5.9,8,9.5,6
8,7.5,3.5,8,9,5
9,12,2.5,8,8,5
9,14,2.7,9,11,2.5
9,12.5,2.8,9,13.9,3
9,11,2.5,9,14.5,3
10,8.5,4,10,8.5,4.8
10,6.5,3.8,10,8.6,4.9
10,6.5,3.6,10,8.6,4.7
1,7.9,4,10,6,2.8
1,5.5,3,,,
1,7.4,3.6,,,
1,9,4.8,,,
2,24.3,8,,,
2,23.7,9.2,,,
2,20.6,8.3,,,
3,4.8,2.9,,,
3,5.2,3,,,
3,6.7,2.8,,,
4,15.4,4.4,,,
4,13.6,4.8,,,
4,16.3,4.6,,,
4,14.6,4.3,,,
5,16,8.8,,,
5,17.8,9.4,,,
5,17.2,8.1,,,
5,17.6,9.1,,,
6,25.7,0.9,,,
6,25.2,0.9,,,
6,25.5,1,,,
7,8.5,2.8,,,
7,7,2.3,,,
7,6.7,2,,,
8,8,3.5,,,
8,7.8,3.5,,,
8,7.6,3.5,,,
9,12.6,2.8,,,
9,13,3,,,
9,14,2.9,,,
10,8.5,4.2,,,
10,8.7,4.5,,,
10,8.5,4,,,